,Symbol,open_to_close,rk_twoscale,rk_th2,medrv,rsv_ss,close_price,nobs,bv_ss,rv10,rv5_ss,open_time,rv5,rsv,rk_parzen,rv10_ss,bv,open_price,close_time
2000-01-03 00:00:00+00:00,.SPX,-0.0116017640689269,0.0001217323923054,0.0001301571720622,5.7745155124993326e-05,9.613343500342576e-05,1454.24,1554.0,0.0001410462762501,0.0001640176672237,0.0001408148436564,83004.0,0.0001408148436564,9.613343500342576e-05,0.000339926422169,0.0001640176672237,0.0001410462762501,1471.21,145959.0
2000-01-04 00:00:00+00:00,.SPX,-0.0351016718317254,0.0001423207836403,0.0001622258527601,6.696693812384852e-05,0.0001800631816819,1399.02,1564.0,0.0001733170635375,0.0002948200088949,0.0002241311515142,83009.0,0.0002241311515142,0.0001800631816819,0.0002152712929194,0.0002948200088949,0.0001733170635375,1449.0,150000.0
2000-01-05 00:00:00+00:00,.SPX,0.0046252195790152,0.0002190493884638,0.0002398365434744,0.0001417521074241,0.000130848495676,1402.09,1552.0,0.0003027451895545,0.0002671638864843,0.0003142822148695,83012.0,0.0003142822148695,0.000130848495676,0.000162765175977,0.0002671638864843,0.0003027451895545,1395.62,150003.0
2000-01-06 00:00:00+00:00,.SPX,0.0029907978595113,0.0001265870152692,0.0001322323557731,7.006091346916822e-05,5.5694597003468965e-05,1403.06,1561.0,0.0001284441954266,0.0001150000706958,0.0001308097278411,83005.0,0.0001308097278411,5.5694597003468965e-05,6.659504243696128e-05,0.0001150000706958,0.0001284441954266,1398.87,145954.0
2000-01-07 00:00:00+00:00,.SPX,0.02629278588594,9.090790367853336e-05,9.48677306042109e-05,4.933782310956649e-05,2.3056076686162487e-05,1440.84,1540.0,7.870592611798558e-05,0.0001214602343785,9.362177104368208e-05,83000.0,9.362177104368208e-05,2.3056076686162487e-05,0.0002154845292232,0.0001214602343785,7.870592611798558e-05,1403.45,150000.0
2000-01-10 00:00:00+00:00,.SPX,0.0106062802700508,0.0001056449374265,0.0001121113475838,6.747072232482313e-05,3.436810247024559e-05,1456.84,1573.0,0.0001357494180465,0.0001186117869849,0.0001202127284099,83006.0,0.0001202127284099,3.436810247024559e-05,0.0002119717947249,0.0001186117869849,0.0001357494180465,1441.47,145956.0
2000-01-11 00:00:00+00:00,.SPX,-0.0126153691078592,7.225255484853654e-05,7.454852825805006e-05,4.655768668966034e-05,4.673360027746532e-05,1438.33,1523.0,6.80540174868629e-05,6.862780893587412e-05,6.80992035840115e-05,83009.0,6.80992035840115e-05,4.673360027746532e-05,6.860088301469675e-05,6.862780893587413e-05,6.805401748686292e-05,1456.59,145953.0
2000-01-12 00:00:00+00:00,.SPX,-0.0045775279804782,0.0001106642970709,0.0001145848915903,9.607268714519224e-05,6.667482024385875e-05,1431.99,1549.0,0.0001132528464819,0.0001083989438104,0.000123002349008,83001.0,0.000123002349008,6.667482024385875e-05,6.902541410336584e-05,0.0001083989438104,0.0001132528464819,1438.56,145949.0
2000-01-13 00:00:00+00:00,.SPX,0.0122272629342541,8.621114248143262e-05,9.07753908704067e-05,2.7503900363711946e-05,2.408297155645682e-05,1449.87,1539.0,5.4869894391284585e-05,0.0001036310494998,0.000101327682707,83000.0,0.000101327682707,2.408297155645682e-05,6.070830568600289e-05,0.0001036310494998,5.4869894391284585e-05,1432.25,145958.0
2000-01-14 00:00:00+00:00,.SPX,0.0097339401293652,8.087363568585127e-05,8.97601310207281e-05,3.93364890849257e-05,3.151878040389206e-05,1463.86,1572.0,9.212970354924264e-05,0.0001816294445514,0.0001393004308907,83001.0,0.0001393004308907,3.151878040389206e-05,0.0001571827968369,0.0001816294445514,9.212970354924264e-05,1449.68,145946.0
