date,SPY,QQQ,DIA,IWM,EFA,EEM,TLT,GLD,XLF,XLE
2021-06-28,-11.697651197953764,-11.270554982584027,-10.768670807371752,-9.081664481479683,-11.573488899061534,-11.835955949933645,-10.877884608898688,-12.136982050992865,-9.711978101299836,-8.279841148235292
2021-06-29,-12.107638218913547,-11.075268758303748,-11.11415570963273,-9.779238340924305,-12.119669340622636,-10.644827260232008,-12.366994371170431,-10.548152459517338,-9.108310504742095,-9.10071246111296
2021-06-30,-12.117698425587438,-11.826892998225091,-10.78991384886626,-9.743981091446573,-10.817479697228999,-11.395538909615443,-10.951876270198051,-10.028986139876835,-10.507640176178345,-9.835679491340308
2021-07-01,-12.512281427112121,-10.70556560724022,-11.72595665380217,-10.112709089451535,-11.31750527661338,-9.689352293653638,-11.17540296021364,-10.360701516473522,-10.280440309495617,-8.831940651513769
2021-07-02,-11.345846619326101,-11.126913560392735,-11.0510047521406,-9.730769576143473,-11.159405920580616,-11.074326619826984,-11.666770550063196,-10.383744298500252,-10.873653592213088,-9.254252299865769
2021-07-06,-10.092727441932166,-9.731894541583786,-9.524228548021881,-8.455201240833315,-10.128188468634844,-9.945529261264463,-10.863036390598634,-9.715098722038478,-8.859965407738708,-8.119581122671526
2021-07-07,-10.525660838899217,-9.915755522681215,-10.576131536089814,-8.46077321459181,-10.745860864730991,-10.105806420331445,-10.200722678324407,-10.872205072378202,-9.893704434658467,-7.527623753729571
2021-07-08,-10.166440460138494,-9.43969916081175,-10.120438518947395,-7.953281687125243,-10.498232702877125,-10.569123061201193,-10.253315710506868,-9.94728689671111,-9.181319181593539,-8.277840156419416
2021-07-09,-11.125356835540579,-10.241866325377638,-10.47653429655181,-9.75330217226458,-11.006090950798813,-10.533530955564158,-12.499058531296035,-11.158317341450424,-9.277314190577663,-8.566839845039969
2021-07-12,-11.578852761196558,-11.030407953707076,-10.720103717217508,-9.988196375879102,-11.69635429253811,-11.114093312002431,-11.042272813269765,-10.138789392896706,-8.824730573742395,-8.396208970423302
2021-07-13,-11.047127923481979,-9.757678582355343,-11.8510445593969,-9.767866126593448,-11.23289763257539,-10.774086156499507,-8.873592585957935,-11.090362283958143,-9.703348556584409,-9.134966959325922
2021-07-14,-10.768084079894052,-10.370268453393404,-10.804965087609274,-8.747864573287602,-12.3343881526377,-10.758102393084805,-11.07892143905868,-11.544143489614212,-8.302306641724284,-7.180025814728042
2021-07-15,-10.773787491488399,-9.595127284866395,-11.545182927841871,-8.623081765851705,-10.834566858872277,-10.542386765899755,-9.878197744659937,-11.08349128687213,-9.011443154830403,-8.531496220184597
2021-07-16,-10.576689865309389,-9.720113152989208,-10.435575579578177,-9.065128899723675,-10.642869209785365,-10.158243530744366,-11.472297877813222,-10.4962092809218,-9.371323836414886,-8.343356008174785
2021-07-19,-8.32855788195275,-10.171530131679662,-7.315243632007487,-8.065703262270889,-10.010344048709232,-10.573098436799858,-10.281830675354241,-10.925500881349723,-8.662496066219862,-7.823032607172365
2021-07-20,-9.252647534925165,-8.914129506953188,-9.240309991355714,-7.869637660521278,-9.96933437740177,-9.816924130773378,-9.40652582622603,-10.020609309919564,-8.005902138913147,-7.718312095309688
2021-07-21,-10.546992917027566,-11.109164843047646,-11.532250826092529,-10.41767208313484,-10.933769071834831,-10.426713110210576,-9.47476465333697,-11.464175060307614,-9.462738702745263,-8.37371628642676
2021-07-22,-11.52845462710921,-12.363999195482299,-10.92551549678768,-8.974960139695757,-11.096521255063406,-11.071564061432177,-10.26201077921171,-10.946929058881722,-9.44228223848792,-8.889338411251353
2021-07-23,-10.806020743841337,-9.829108667424302,-11.33272504944266,-9.250827871476277,-11.600748373835703,-10.24308364124624,-11.761941920218904,-11.094362360914609,-9.596853492938648,-8.90999032803497
2021-07-26,-13.00205183294653,-11.010990454773523,-11.57545036733137,-9.36009078589865,-12.796081527547972,-10.225388695717683,-11.025872103675686,-11.697533256554841,-10.453582422344185,-8.512797739854118
2021-07-27,-10.150631446535945,-8.499511853205883,-11.141804936884357,-8.95374296828162,-11.120514837353776,-9.145923380083987,-11.582908948804064,-11.067320667497423,-9.06956744476432,-9.115064874298653
2021-07-28,-10.735037672405502,-9.622187813068864,-10.968017953228127,-8.28669755408668,-10.681773953116739,-9.258190381735309,-10.501853080862986,-10.285860599753688,-9.473493563357561,-8.225622686742632
2021-07-29,-11.640699251131744,-10.947165717507906,-11.854149221860087,-9.859396407442855,-12.488741592957554,-10.603026955554883,-11.44408740191777,-11.572665419955348,-9.475742009754065,-9.34130894223197
2021-07-30,-11.259326069093863,-11.073608695643815,-10.730644841873579,-8.862972106267204,-10.823668767196107,-10.394834165802205,-11.852008814324316,-10.290428339795715,-9.191837414082304,-8.422133840504612
2021-08-02,-10.783895020863834,-10.566316508567317,-9.97494225098451,-8.546304583276779,-10.870822614314346,-10.800156261792658,-9.599372859132679,-10.748522998793934,-8.684358456864247,-7.516422306835042
2021-08-03,-9.807322046612585,-9.375930312299197,-9.796069363518493,-8.692391775768456,-10.680386889458664,-10.12517281215633,-11.073890316904667,-11.9250631015426,-8.251460703120234,-7.973100761439678
2021-08-04,-11.210614460061118,-10.559932413164699,-11.352339890880463,-9.154582762060933,-11.45226089241387,-10.29462146848217,-9.275019128431161,-9.729234467429983,-8.974252626335103,-8.364481314667406
2021-08-05,-12.152942686006888,-11.04543205560277,-11.982980463982397,-9.480919563704639,-12.856321494219321,-11.6411203832341,-11.112270338535335,-10.67108883092575,-11.8601823347246,-8.405854510177372
